08-19T00:49:30,1503103770,3587111,50,15
08-19T00:50:10,1503103810,28087111,50,15
08-19T00:50:50,1503103850,14087111,50,15
08-19T00:51:30,1503103890,7087111,50,15
08-19T00:52:10,1503103930,3587111,50,15
08-19T00:52:50,1503103970,28087111,50,15
08-19T00:53:29,1503104009,14087111,50,15
08-19T00:54:09,1503104049,7087111,50,15
08-19T00:54:49,1503104089,3587111,50,15
08-19T00:55:29,1503104129,28087111,50,15
08-19T00:56:09,1503104169,14087111,50,15
08-19T00:56:49,1503104209,7087111,50,15
08-19T00:57:28,1503104248,3587111,50,15
08-19T00:58:08,1503104288,28087111,50,15
08-19T00:58:48,1503104328,14087111,50,15
08-19T00:59:28,1503104368,7087111,50,15
08-19T01:00:08,1503104408,3587111,50,15
08-19T01:00:47,1503104447,28087111,50,15
08-19T01:01:27,1503104487,14087111,50,15
08-19T01:02:07,1503104527,7087111,50,15
08-19T01:02:47,1503104567,3587111,50,15
08-19T01:03:27,1503104607,28087111,50,15
08-19T01:04:07,1503104647,14087111,50,15
08-19T01:04:47,1503104687,7087111,50,15
08-19T01:05:26,1503104726,3587111,50,15
08-19T01:06:06,1503104766,28087111,50,15
08-19T01:06:46,1503104806,14087111,50,15
08-19T01:07:26,1503104846,7087111,50,15
08-19T01:08:06,1503104886,3587111,50,15
08-19T01:08:46,1503104926,28087111,50,15
08-19T01:09:26,1503104966,14087111,50,15
08-19T01:10:06,1503105006,7087111,50,15
08-19T01:10:45,1503105045,3587111,50,15
08-19T01:11:25,1503105085,28087111,50,15
08-19T01:12:05,1503105125,14087111,50,15
08-19T01:12:45,1503105165,7087111,50,15
08-19T01:13:25,1503105205,3587111,50,15
08-19T01:14:05,1503105245,28087111,50,15
08-19T01:14:44,1503105284,14087111,50,15
08-19T01:15:24,1503105324,7087111,50,15
08-19T01:16:04,1503105364,3587111,50,15
08-19T01:16:44,1503105404,28087111,50,15
08-19T01:17:24,1503105444,14087111,50,15
08-19T01:18:04,1503105484,7087111,50,15
08-19T01:18:44,1503105524,3587111,50,15
08-19T01:19:24,1503105564,28087111,50,15
08-19T01:20:03,1503105603,14087111,50,15
08-19T01:20:43,1503105643,7087111,50,15
08-19T01:21:23,1503105683,3587111,50,15
08-19T01:22:03,1503105723,28087111,50,15
08-19T01:22:43,1503105763,14087111,50,15
08-19T01:23:23,1503105803,7087111,50,15
08-19T01:24:03,1503105843,3587111,50,15
08-19T01:24:42,1503105882,28087111,50,15
08-19T01:25:22,1503105922,14087111,50,15
08-19T01:26:02,1503105962,7087111,50,15
08-19T01:26:42,1503106002,3587111,50,15
08-19T01:27:22,1503106042,28087111,50,15
08-19T01:28:02,1503106082,14087111,50,15
08-19T01:28:42,1503106122,7087111,50,15
08-19T01:29:22,1503106162,3587111,50,15
08-19T01:30:01,1503106201,28087111,50,15
08-19T01:30:41,1503106241,14087111,50,15
08-19T01:31:21,1503106281,7087111,50,15
08-19T01:32:01,1503106321,3587111,50,15
08-19T01:32:41,1503106361,28087111,50,15
08-19T01:33:21,1503106401,14087111,50,15
08-19T01:34:01,1503106441,7087111,50,15
08-19T01:34:40,1503106480,3587111,50,15
08-19T01:35:20,1503106520,28087111,50,15
08-19T01:36:00,1503106560,14087111,50,15
08-19T01:36:40,1503106600,7087111,50,15
08-19T01:37:20,1503106640,3587111,50,15
08-19T01:37:59,1503106679,28087111,50,15
08-19T01:38:39,1503106719,14087111,50,15
08-19T01:39:19,1503106759,7087111,50,15
08-19T01:39:59,1503106799,3587111,50,15
08-19T01:40:39,1503106839,28087111,50,15
08-19T01:41:19,1503106879,14087111,50,15
08-19T01:41:58,1503106918,7087111,50,15
08-19T01:42:38,1503106958,3587111,50,15
08-19T01:43:18,1503106998,28087111,50,15
08-19T01:43:58,1503107038,14087111,50,15
08-19T01:44:38,1503107078,7087111,50,15
08-19T01:45:18,1503107118,3587111,50,15
08-19T01:45:58,1503107158,28087111,50,15
08-19T01:46:37,1503107197,14087111,50,15
08-19T01:47:17,1503107237,7087111,50,15
08-19T01:47:57,1503107277,3587111,50,15
08-19T01:48:37,1503107317,28087111,50,15
08-19T01:49:17,1503107357,14087111,50,15
08-19T01:49:57,1503107397,7087111,50,15
08-19T01:50:37,1503107437,3587111,50,15
08-19T01:51:17,1503107477,28087111,50,15
08-19T01:51:56,1503107516,14087111,50,15
08-19T01:52:36,1503107556,7087111,50,15
08-19T01:53:16,1503107596,3587111,50,15
08-19T01:53:56,1503107636,28087111,50,15
08-19T01:54:36,1503107676,14087111,50,15
08-19T01:55:16,1503107716,7087111,50,15
08-19T01:55:56,1503107756,3587111,50,15
08-19T01:56:35,1503107795,28087111,50,15
08-19T01:57:15,1503107835,14087111,50,15
08-19T01:57:55,1503107875,7087111,50,15
08-19T01:58:35,1503107915,3587111,50,15
08-19T01:59:15,1503107955,28087111,50,15
08-19T01:59:55,1503107995,14087111,50,15
08-19T02:00:35,1503108035,7087111,50,15
08-19T02:01:15,1503108075,3587111,50,15
08-19T02:01:55,1503108115,28087111,50,15
08-19T02:02:34,1503108154,14087111,50,15
08-19T02:03:14,1503108194,7087111,50,15
08-19T02:03:54,1503108234,3587111,50,15
08-19T02:04:34,1503108274,28087111,50,15
08-19T02:05:14,1503108314,14087111,50,15
08-19T02:05:54,1503108354,7087111,50,15
08-19T02:06:34,1503108394,3587111,50,15
08-19T02:07:13,1503108433,28087111,50,15
08-19T02:07:53,1503108473,14087111,50,15
08-19T02:08:33,1503108513,7087111,50,15
08-19T02:09:13,1503108553,3587111,50,15
08-19T02:09:53,1503108593,28087111,50,15
08-19T02:10:32,1503108632,14087111,50,15
08-19T02:11:12,1503108672,7087111,50,15
08-19T02:11:52,1503108712,3587111,50,15
08-19T02:12:32,1503108752,28087111,50,15
08-19T02:13:12,1503108792,14087111,50,15
08-19T02:13:52,1503108832,7087111,50,15
08-19T02:14:32,1503108872,3587111,50,15
08-19T02:15:12,1503108912,28087111,50,15
08-19T02:15:51,1503108951,14087111,50,15
08-19T02:16:31,1503108991,7087111,50,15
08-19T02:17:11,1503109031,3587111,50,15
08-19T02:17:51,1503109071,28087111,50,15
08-19T02:18:31,1503109111,14087111,50,15
08-19T02:19:11,1503109151,7087111,50,15
08-19T02:19:50,1503109190,3587111,50,15
08-19T02:20:30,1503109230,28087111,50,15
08-19T02:21:10,1503109270,14087111,50,15
08-19T02:21:50,1503109310,7087111,50,15
08-19T02:22:29,1503109349,3587111,50,15
08-19T02:23:09,1503109389,28087111,50,15
08-19T02:23:49,1503109429,14087111,50,15
08-19T02:24:29,1503109469,7087111,50,15
08-19T02:25:09,1503109509,3587111,50,15
08-19T02:25:49,1503109549,28087111,50,15
08-19T02:26:28,1503109588,14087111,50,15
08-19T02:27:08,1503109628,7087111,50,15
08-19T02:27:48,1503109668,3587111,50,15
08-19T02:28:28,1503109708,28087111,50,15
08-19T02:29:08,1503109748,14087111,50,15
08-19T02:29:48,1503109788,7087111,50,15
08-19T02:30:28,1503109828,3587111,50,15
08-19T02:31:07,1503109867,28087111,50,15
08-19T02:31:47,1503109907,14087111,50,15
08-19T02:32:27,1503109947,7087111,50,15
08-19T02:33:07,1503109987,3587111,50,15
08-19T02:33:47,1503110027,28087111,50,15
08-19T02:34:27,1503110067,14087111,50,15
08-19T02:35:07,1503110107,7087111,50,15
08-19T02:35:47,1503110147,3587111,50,15
08-19T02:36:26,1503110186,28087111,50,15
08-19T02:37:06,1503110226,14087111,50,15
08-19T02:37:46,1503110266,7087111,50,15
08-19T02:38:26,1503110306,3587111,50,15
08-19T02:39:06,1503110346,28087111,50,15
08-19T02:39:46,1503110386,14087111,50,15
08-19T02:40:26,1503110426,7087111,50,15
08-19T02:41:06,1503110466,3587111,50,15
08-19T02:41:46,1503110506,28087111,50,15
08-19T02:42:25,1503110545,14087111,50,15
08-19T02:43:05,1503110585,7087111,50,15
08-19T02:43:45,1503110625,3587111,50,15
